quiet,active,jailed,,,,,,"{
	""initialCopDensity"":0.04,
	""initialAgentDensity"":0.95,
	""vision"":7,
	""govermentLegitimacy"":0.82,
	""maxJailTerm"":30,
	""movement"":true,
	""extention1"":false,
	""tickTime"":1000
}",,,,
1014,163,343,,,,,,,,,,
890,254,376,,,,,,,,,,
866,246,408,,,,,,,,,,
861,219,440,,,,,,,,,,
867,181,472,,,,,,,,,,
871,156,493,,,,,,,,,,
877,128,515,,,,,,,,,,
871,110,539,,,,,,,,,,
856,103,561,,,,,,,,,,
869,69,582,,,,,,,,,,
880,42,598,,,,,,,,,,
917,25,578,,,,,,,,,,
933,20,567,,,,,,,,,,
944,22,554,,,,,,,,,,
933,27,560,,,,,,,,,,
951,14,555,,,,,,,,,,
986,4,530,,,,,,,,,,
1007,2,511,,,,,,,,,,
1037,1,482,,,,,,,,,,
1061,0,459,,,,,,,,,,
1086,4,430,,,,,,,,,,
1091,17,412,,,,,,,,,,
1086,31,403,,,,,,,,,,
1077,39,404,,,,,,,,,,
1028,78,414,,,,,,,,,,
997,93,430,,,,,,,,,,
918,146,456,,,,,,,,,,
858,173,489,,,,,,,,,,
851,160,509,,,,,,,,,,
849,148,523,,,,,,,,,,
851,128,541,,,,,,,,,,
850,105,565,,,,,,,,,,
858,82,580,,,,,,,,,,
870,63,587,,,,,,,,,,
884,37,599,,,,,,,,,,
915,19,586,,,,,,,,,,
934,12,574,,,,,,,,,,
969,10,541,,,,,,,,,,
990,6,524,,,,,,,,,,
1003,7,510,,,,,,,,,,
1030,1,489,,,,,,,,,,
1032,6,482,,,,,,,,,,
1026,17,477,,,,,,,,,,
999,51,470,,,,,,,,,,
999,43,478,,,,,,,,,,
964,57,499,,,,,,,,,,
896,111,513,,,,,,,,,,
867,117,536,,,,,,,,,,
865,89,566,,,,,,,,,,
880,61,579,,,,,,,,,,
918,38,564,,,,,,,,,,
943,39,538,,,,,,,,,,
966,27,527,,,,,,,,,,
979,32,509,,,,,,,,,,
945,61,514,,,,,,,,,,
907,89,524,,,,,,,,,,
905,77,538,,,,,,,,,,
890,68,562,,,,,,,,,,
877,75,568,,,,,,,,,,
897,57,566,,,,,,,,,,
920,30,570,,,,,,,,,,
957,12,551,,,,,,,,,,
984,7,529,,,,,,,,,,
1012,5,503,,,,,,,,,,
1041,0,479,,,,,,,,,,
1054,10,456,,,,,,,,,,
1056,26,438,,,,,,,,,,
1051,33,436,,,,,,,,,,
1067,19,434,,,,,,,,,,
1066,21,433,,,,,,,,,,
996,85,439,,,,,,,,,,
942,130,448,,,,,,,,,,
930,120,470,,,,,,,,,,
881,144,495,,,,,,,,,,
860,139,521,,,,,,,,,,
863,107,550,,,,,,,,,,
869,81,570,,,,,,,,,,
888,51,581,,,,,,,,,,
909,37,574,,,,,,,,,,
928,12,580,,,,,,,,,,
937,20,563,,,,,,,,,,
962,16,542,,,,,,,,,,
986,9,525,,,,,,,,,,
994,15,511,,,,,,,,,,
991,28,501,,,,,,,,,,
1000,32,488,,,,,,,,,,
1001,24,495,,,,,,,,,,
986,31,503,,,,,,,,,,
975,55,490,,,,,,,,,,
948,78,494,,,,,,,,,,
910,98,512,,,,,,,,,,
913,71,536,,,,,,,,,,
929,53,538,,,,,,,,,,
915,64,541,,,,,,,,,,
914,57,549,,,,,,,,,,
938,35,547,,,,,,,,,,
965,19,536,,,,,,,,,,
989,11,520,,,,,,,,,,
1020,7,493,,,,,,,,,,
1045,9,466,,,,,,,,,,
1026,44,450,,,,,,,,,,
990,90,440,,,,,,,,,,
944,119,457,,,,,,,,,,
904,137,479,,,,,,,,,,
865,142,513,,,,,,,,,,
848,126,546,,,,,,,,,,
845,105,570,,,,,,,,,,
854,72,594,,,,,,,,,,
883,35,602,,,,,,,,,,
928,15,577,,,,,,,,,,
953,13,554,,,,,,,,,,
985,8,527,,,,,,,,,,
1003,13,504,,,,,,,,,,
1035,3,482,,,,,,,,,,
1062,3,455,,,,,,,,,,
1085,2,433,,,,,,,,,,
1086,18,416,,,,,,,,,,
1017,91,412,,,,,,,,,,
959,132,429,,,,,,,,,,
933,133,454,,,,,,,,,,
914,131,475,,,,,,,,,,
867,153,500,,,,,,,,,,
863,130,527,,,,,,,,,,
862,104,554,,,,,,,,,,
876,64,580,,,,,,,,,,
911,27,582,,,,,,,,,,
927,22,571,,,,,,,,,,
941,21,558,,,,,,,,,,
949,26,545,,,,,,,,,,
964,21,535,,,,,,,,,,
983,14,523,,,,,,,,,,
994,14,512,,,,,,,,,,
1040,0,480,,,,,,,,,,
1069,6,445,,,,,,,,,,
1042,40,438,,,,,,,,,,
956,110,454,,,,,,,,,,
864,170,486,,,,,,,,,,
845,160,515,,,,,,,,,,
850,121,549,,,,,,,,,,
864,90,566,,,,,,,,,,
887,56,577,,,,,,,,,,
915,39,566,,,,,,,,,,
943,21,556,,,,,,,,,,
947,23,550,,,,,,,,,,
971,6,543,,,,,,,,,,
1012,0,508,,,,,,,,,,
1033,10,477,,,,,,,,,,
1029,38,453,,,,,,,,,,
1016,65,439,,,,,,,,,,
990,87,443,,,,,,,,,,
959,96,465,,,,,,,,,,
945,96,479,,,,,,,,,,
907,106,507,,,,,,,,,,
872,113,535,,,,,,,,,,
865,91,564,,,,,,,,,,
890,54,576,,,,,,,,,,
919,33,568,,,,,,,,,,
946,11,563,,,,,,,,,,
994,0,526,,,,,,,,,,
1014,4,502,,,,,,,,,,
1035,7,478,,,,,,,,,,
1060,4,456,,,,,,,,,,
1089,1,430,,,,,,,,,,
1121,0,399,,,,,,,,,,
1148,1,371,,,,,,,,,,
1171,4,345,,,,,,,,,,
1189,7,324,,,,,,,,,,
1119,80,321,,,,,,,,,,
1016,159,345,,,,,,,,,,
915,233,372,,,,,,,,,,
854,264,402,,,,,,,,,,
843,234,443,,,,,,,,,,
843,210,467,,,,,,,,,,
843,179,498,,,,,,,,,,
843,156,521,,,,,,,,,,
846,123,551,,,,,,,,,,
856,94,570,,,,,,,,,,
869,58,593,,,,,,,,,,
906,22,592,,,,,,,,,,
939,18,563,,,,,,,,,,
963,4,553,,,,,,,,,,
996,3,521,,,,,,,,,,
1021,2,497,,,,,,,,,,
1040,1,479,,,,,,,,,,
1077,0,443,,,,,,,,,,
1105,0,415,,,,,,,,,,
1128,2,390,,,,,,,,,,
1149,0,371,,,,,,,,,,
1144,18,358,,,,,,,,,,
1019,115,386,,,,,,,,,,
908,190,422,,,,,,,,,,
853,219,448,,,,,,,,,,
854,182,484,,,,,,,,,,
860,157,503,,,,,,,,,,
876,129,515,,,,,,,,,,
892,101,527,,,,,,,,,,
896,82,542,,,,,,,,,,
918,56,546,,,,,,,,,,
910,58,552,,,,,,,,,,
894,58,568,,,,,,,,,,
904,51,565,,,,,,,,,,
916,41,563,,,,,,,,,,
937,34,549,,,,,,,,,,
955,27,538,,,,,,,,,,
980,24,516,,,,,,,,,,
974,30,516,,,,,,,,,,
946,46,528,,,,,,,,,,
916,56,548,,,,,,,,,,
926,40,554,,,,,,,,,,
935,29,556,,,,,,,,,,
967,14,539,,,,,,,,,,
999,11,510,,,,,,,,,,
1017,10,493,,,,,,,,,,
1026,10,484,,,,,,,,,,
1052,12,456,,,,,,,,,,
1086,6,428,,,,,,,,,,
1123,4,393,,,,,,,,,,
1159,2,359,,,,,,,,,,
1200,0,320,,,,,,,,,,
1229,0,291,,,,,,,,,,
1251,0,269,,,,,,,,,,
1237,19,264,,,,,,,,,,
1160,68,292,,,,,,,,,,
882,304,334,,,,,,,,,,
843,313,364,,,,,,,,,,
843,271,406,,,,,,,,,,
843,242,435,,,,,,,,,,
844,208,468,,,,,,,,,,
847,167,506,,,,,,,,,,
849,136,535,,,,,,,,,,
855,92,573,,,,,,,,,,
882,56,582,,,,,,,,,,
896,35,589,,,,,,,,,,
926,14,580,,,,,,,,,,
958,3,559,,,,,,,,,,
987,0,533,,,,,,,,,,
1008,1,511,,,,,,,,,,
1035,0,485,,,,,,,,,,
1062,8,450,,,,,,,,,,
1067,20,433,,,,,,,,,,
1057,36,427,,,,,,,,,,
1031,58,431,,,,,,,,,,
1018,66,436,,,,,,,,,,
969,84,467,,,,,,,,,,
911,108,501,,,,,,,,,,
865,128,527,,,,,,,,,,
866,96,558,,,,,,,,,,
885,71,564,,,,,,,,,,
904,58,558,,,,,,,,,,
929,39,552,,,,,,,,,,
938,38,544,,,,,,,,,,
953,41,526,,,,,,,,,,
972,31,517,,,,,,,,,,
961,44,515,,,,,,,,,,
933,69,518,,,,,,,,,,
911,79,530,,,,,,,,,,
925,60,535,,,,,,,,,,
931,50,539,,,,,,,,,,
947,26,547,,,,,,,,,,
937,32,551,,,,,,,,,,
958,19,543,,,,,,,,,,
961,19,540,,,,,,,,,,
978,19,523,,,,,,,,,,
989,16,515,,,,,,,,,,
1017,3,500,,,,,,,,,,
1034,12,474,,,,,,,,,,
1041,26,453,,,,,,,,,,
