quiet,active,jailed,,,,,,,,,,,
970,93,57,,,,,,,"{
	""initialCopDensity"":0.04,
	""initialAgentDensity"":0.70,
	""vision"":7,
	""govermentLegitimacy"":0.82,
	""maxJailTerm"":30,
	""movement"":false,
	""extention1"":false,
	""tickTime"":1000
}",,,,
712,290,118,,,,,,,,,,,
618,325,177,,,,,,,,,,,
618,269,233,,,,,,,,,,,
618,217,285,,,,,,,,,,,
619,161,340,,,,,,,,,,,
624,105,391,,,,,,,,,,,
640,58,422,,,,,,,,,,,
655,25,440,,,,,,,,,,,
677,11,432,,,,,,,,,,,
688,2,430,,,,,,,,,,,
707,0,413,,,,,,,,,,,
728,0,392,,,,,,,,,,,
738,0,382,,,,,,,,,,,
731,14,375,,,,,,,,,,,
738,11,371,,,,,,,,,,,
750,8,362,,,,,,,,,,,
761,7,352,,,,,,,,,,,
778,1,341,,,,,,,,,,,
793,0,327,,,,,,,,,,,
809,0,311,,,,,,,,,,,
834,0,286,,,,,,,,,,,
856,0,264,,,,,,,,,,,
854,11,255,,,,,,,,,,,
801,50,269,,,,,,,,,,,
742,91,287,,,,,,,,,,,
702,105,313,,,,,,,,,,,
672,106,342,,,,,,,,,,,
660,96,364,,,,,,,,,,,
658,71,391,,,,,,,,,,,
683,39,398,,,,,,,,,,,
692,27,401,,,,,,,,,,,
715,8,397,,,,,,,,,,,
741,0,379,,,,,,,,,,,
761,3,356,,,,,,,,,,,
782,1,337,,,,,,,,,,,
790,6,324,,,,,,,,,,,
801,1,318,,,,,,,,,,,
828,0,292,,,,,,,,,,,
839,1,280,,,,,,,,,,,
814,18,288,,,,,,,,,,,
817,9,294,,,,,,,,,,,
842,1,277,,,,,,,,,,,
863,0,257,,,,,,,,,,,
854,12,254,,,,,,,,,,,
846,19,255,,,,,,,,,,,
819,42,259,,,,,,,,,,,
801,41,278,,,,,,,,,,,
787,34,299,,,,,,,,,,,
789,34,297,,,,,,,,,,,
776,32,312,,,,,,,,,,,
752,49,319,,,,,,,,,,,
703,76,341,,,,,,,,,,,
710,61,349,,,,,,,,,,,
