quiet,active,jailed,,,,,,,,,,,,
971,97,52,,,,,,"{
	""initialCopDensity"":0.04,
	""initialAgentDensity"":0.70,
	""vision"":7,
	""govermentLegitimacy"":0.82,
	""maxJailTerm"":30,
	""movement"":true,
	""extention1"":false,
	""tickTime"":1000
}",,,,,,
806,210,104,,,,,,,,,,,,
620,340,160,,,,,,,,,,,,
601,303,216,,,,,,,,,,,,
601,246,273,,,,,,,,,,,,
601,196,323,,,,,,,,,,,,
603,141,376,,,,,,,,,,,,
611,91,418,,,,,,,,,,,,
637,36,447,,,,,,,,,,,,
653,11,456,,,,,,,,,,,,
677,1,442,,,,,,,,,,,,
697,0,423,,,,,,,,,,,,
715,0,405,,,,,,,,,,,,
730,7,383,,,,,,,,,,,,
736,15,369,,,,,,,,,,,,
750,10,360,,,,,,,,,,,,
775,0,345,,,,,,,,,,,,
785,5,330,,,,,,,,,,,,
789,4,327,,,,,,,,,,,,
792,11,317,,,,,,,,,,,,
785,25,310,,,,,,,,,,,,
768,34,318,,,,,,,,,,,,
768,28,324,,,,,,,,,,,,
767,28,325,,,,,,,,,,,,
757,32,331,,,,,,,,,,,,
730,53,337,,,,,,,,,,,,
694,74,352,,,,,,,,,,,,
662,76,382,,,,,,,,,,,,
685,37,398,,,,,,,,,,,,
710,14,396,,,,,,,,,,,,
731,7,382,,,,,,,,,,,,
752,4,364,,,,,,,,,,,,
782,1,337,,,,,,,,,,,,
803,0,317,,,,,,,,,,,,
832,3,285,,,,,,,,,,,,
841,7,272,,,,,,,,,,,,
852,3,265,,,,,,,,,,,,
863,3,254,,,,,,,,,,,,
883,0,237,,,,,,,,,,,,
898,1,221,,,,,,,,,,,,
914,0,206,,,,,,,,,,,,
923,1,196,,,,,,,,,,,,
937,1,182,,,,,,,,,,,,
949,0,171,,,,,,,,,,,,
951,3,166,,,,,,,,,,,,
958,2,160,,,,,,,,,,,,
902,44,174,,,,,,,,,,,,
761,159,200,,,,,,,,,,,,
643,232,245,,,,,,,,,,,,
606,220,294,,,,,,,,,,,,
601,183,336,,,,,,,,,,,,
603,138,379,,,,,,,,,,,,
611,90,419,,,,,,,,,,,,
637,45,438,,,,,,,,,,,,
660,23,437,,,,,,,,,,,,
686,8,426,,,,,,,,,,,,
705,3,412,,,,,,,,,,,,
718,7,395,,,,,,,,,,,,
722,8,390,,,,,,,,,,,,
735,7,378,,,,,,,,,,,,
745,12,363,,,,,,,,,,,,
754,8,358,,,,,,,,,,,,
784,0,336,,,,,,,,,,,,
800,0,320,,,,,,,,,,,,
807,6,307,,,,,,,,,,,,
803,16,301,,,,,,,,,,,,
820,3,297,,,,,,,,,,,,
838,5,277,,,,,,,,,,,,
854,1,265,,,,,,,,,,,,
873,0,247,,,,,,,,,,,,
892,0,228,,,,,,,,,,,,
890,10,220,,,,,,,,,,,,
880,15,225,,,,,,,,,,,,
877,22,221,,,,,,,,,,,,
820,61,239,,,,,,,,,,,,
723,127,270,,,,,,,,,,,,
626,180,314,,,,,,,,,,,,
606,172,342,,,,,,,,,,,,
606,135,379,,,,,,,,,,,,
609,96,415,,,,,,,,,,,,
631,56,433,,,,,,,,,,,,
656,20,444,,,,,,,,,,,,
693,1,426,,,,,,,,,,,,
705,6,409,,,,,,,,,,,,
697,16,407,,,,,,,,,,,,
696,17,407,,,,,,,,,,,,
705,11,404,,,,,,,,,,,,
739,2,379,,,,,,,,,,,,
752,2,366,,,,,,,,,,,,
770,0,350,,,,,,,,,,,,
785,0,335,,,,,,,,,,,,
769,18,333,,,,,,,,,,,,
769,16,335,,,,,,,,,,,,
781,4,335,,,,,,,,,,,,
779,9,332,,,,,,,,,,,,
791,8,321,,,,,,,,,,,,
819,3,298,,,,,,,,,,,,
830,4,286,,,,,,,,,,,,
843,9,268,,,,,,,,,,,,
808,45,267,,,,,,,,,,,,
739,98,283,,,,,,,,,,,,
709,107,304,,,,,,,,,,,,
665,113,342,,,,,,,,,,,,
619,125,376,,,,,,,,,,,,
614,108,398,,,,,,,,,,,,
627,67,426,,,,,,,,,,,,
659,30,431,,,,,,,,,,,,
674,16,430,,,,,,,,,,,,
699,5,416,,,,,,,,,,,,
721,2,397,,,,,,,,,,,,
741,0,379,,,,,,,,,,,,
755,4,361,,,,,,,,,,,,
724,40,356,,,,,,,,,,,,
694,56,370,,,,,,,,,,,,
670,65,385,,,,,,,,,,,,
668,45,407,,,,,,,,,,,,
674,18,428,,,,,,,,,,,,
702,7,411,,,,,,,,,,,,
720,3,397,,,,,,,,,,,,
741,3,376,,,,,,,,,,,,
746,8,366,,,,,,,,,,,,
757,5,358,,,,,,,,,,,,
780,0,340,,,,,,,,,,,,
808,0,312,,,,,,,,,,,,
828,1,291,,,,,,,,,,,,
828,14,278,,,,,,,,,,,,
821,25,274,,,,,,,,,,,,
744,83,293,,,,,,,,,,,,
679,118,323,,,,,,,,,,,,
622,147,351,,,,,,,,,,,,
623,119,378,,,,,,,,,,,,
625,86,409,,,,,,,,,,,,
625,64,431,,,,,,,,,,,,
642,32,446,,,,,,,,,,,,
665,12,443,,,,,,,,,,,,
693,8,419,,,,,,,,,,,,
707,8,405,,,,,,,,,,,,
725,7,388,,,,,,,,,,,,
744,0,376,,,,,,,,,,,,
762,2,356,,,,,,,,,,,,
781,1,338,,,,,,,,,,,,
798,3,319,,,,,,,,,,,,
822,0,298,,,,,,,,,,,,
825,4,291,,,,,,,,,,,,
850,1,269,,,,,,,,,,,,
874,1,245,,,,,,,,,,,,
878,4,238,,,,,,,,,,,,
852,28,240,,,,,,,,,,,,
796,65,259,,,,,,,,,,,,
754,78,288,,,,,,,,,,,,
674,115,331,,,,,,,,,,,,
609,154,357,,,,,,,,,,,,
602,120,398,,,,,,,,,,,,
617,76,427,,,,,,,,,,,,
650,34,436,,,,,,,,,,,,
678,12,430,,,,,,,,,,,,
710,2,408,,,,,,,,,,,,
742,1,377,,,,,,,,,,,,
750,5,365,,,,,,,,,,,,
774,2,344,,,,,,,,,,,,
796,0,324,,,,,,,,,,,,
